Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000,,Zero Index,1424.70000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.05872000e-06,-1.00609375e+01,7.96093750e+02,-8.43750000e-01,8.20312500e-01,,-2.05872000e-06,-1.35102615e-04
-2.05712000e-06,-1.01265625e+01,7.92890625e+02,-1.14062500e+00,8.12500000e-01,,-2.05712000e-06,-1.36363495e-04
-2.05552000e-06,-1.00765625e+01,7.88750000e+02,-1.07812500e+00,7.73437500e-01,,-2.05552000e-06,-1.37767303e-04
-2.05392000e-06,-1.01000000e+01,7.92265625e+02,-8.51562500e-01,1.00000000e+00,,-2.05392000e-06,-1.38987336e-04
-2.05232000e-06,-1.00031250e+01,7.91328125e+02,-9.76562500e-01,8.90625000e-01,,-2.05232000e-06,-1.40145290e-04
-2.05072000e-06,-1.00562500e+01,7.91875000e+02,-5.39062500e-01,1.14843750e+00,,-2.05072000e-06,-1.41105018e-04
-2.04912000e-06,-1.00953125e+01,7.91484375e+02,-8.43750000e-01,9.21875000e-01,,-2.04912000e-06,-1.41980767e-04
-2.04752000e-06,-1.00609375e+01,7.90000000e+02,-9.29687500e-01,8.59375000e-01,,-2.04752000e-06,-1.43102588e-04
-2.04592000e-06,-1.00546875e+01,7.91953125e+02,-9.14062500e-01,8.59375000e-01,,-2.04592000e-06,-1.44269274e-04
-2.04432000e-06,-1.00515625e+01,7.95781250e+02,-8.59375000e-01,8.75000000e-01,,-2.04432000e-06,-1.45395490e-04
-2.04272000e-06,-9.95156250e+00,7.92890625e+02,-7.50000000e-01,7.50000000e-01,,-2.04272000e-06,-1.46418330e-04
-2.04112000e-06,-1.00203125e+01,7.96171875e+02,-1.07812500e+00,8.67187500e-01,,-2.04112000e-06,-1.47580766e-04
-2.03952000e-06,-1.00531250e+01,7.92812500e+02,-1.19531250e+00,6.79687500e-01,,-2.03952000e-06,-1.49025596e-04
-2.03792000e-06,-1.01281250e+01,7.93984375e+02,-7.65625000e-01,6.79687500e-01,,-2.03792000e-06,-1.50270032e-04
-2.03632000e-06,-1.00015625e+01,7.93203125e+02,-1.00781250e+00,8.98437500e-01,,-2.03632000e-06,-1.51395870e-04
-2.03472000e-06,-1.01046875e+01,7.92968750e+02,-8.82812500e-01,8.67187500e-01,,-2.03472000e-06,-1.52595429e-04
-2.03312000e-06,-1.00187500e+01,7.95468750e+02,-7.57812500e-01,8.67187500e-01,,-2.03312000e-06,-1.53637709e-04
-2.03152000e-06,-1.00625000e+01,7.95546875e+02,-8.28125000e-01,3.35937500e-01,,-2.03152000e-06,-1.54647016e-04
-2.02992000e-06,-1.01078125e+01,7.92187500e+02,-6.87500000e-01,1.12500000e+00,,-2.02992000e-06,-1.55609770e-04
