Model,MSO58
Channel,CH1,,Channel,CH2,,Channel,CH3,,Channel,CH4,,Channel,MATH1
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09,,Sample Interval,1.60000000e-09
Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250,,Record Length,6250
Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000,,Zero Index,1424.20000000
Vertical Units,V,,Vertical Units,V,,Vertical Units,A,,Vertical Units,A,,Vertical Units,J
,,,,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,,
yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,,
yPosition,0.120000,,yPosition,-1.600000,,yPosition,0.000000,,yPosition,0.000000,,,

TIME,CH1,CH2,CH3,CH4,,TIME,MATH1
-2.17312000e-06,-1.01343750e+01,1.18515625e+03,6.25000000e-02,1.23437500e+00,,-2.17312000e-06,-4.75428387e-05
-2.17152000e-06,-1.01218750e+01,1.19046875e+03,-4.21875000e-01,8.04687500e-01,,-2.17152000e-06,-4.78853653e-05
-2.16992000e-06,-1.00062500e+01,1.18984375e+03,-4.14062500e-01,1.04687500e+00,,-2.16992000e-06,-4.86812860e-05
-2.16832000e-06,-1.00593750e+01,1.18968750e+03,-2.18750000e-01,1.17968750e+00,,-2.16832000e-06,-4.92836152e-05
-2.16672000e-06,-1.00078125e+01,1.19101562e+03,-5.39062500e-01,1.17187500e+00,,-2.16672000e-06,-5.00054375e-05
-2.16512000e-06,-1.00250000e+01,1.19062500e+03,-6.87500000e-01,8.90625000e-01,,-2.16512000e-06,-5.11739054e-05
-2.16352000e-06,-1.01281250e+01,1.19156250e+03,-3.51562500e-01,1.05468750e+00,,-2.16352000e-06,-5.21638758e-05
-2.16192000e-06,-1.00609375e+01,1.19226562e+03,1.25000000e-01,1.03125000e+00,,-2.16192000e-06,-5.23797753e-05
-2.16032000e-06,-1.00859375e+01,1.18992188e+03,-1.17187500e-01,5.85937500e-01,,-2.16032000e-06,-5.23721028e-05
-2.15872000e-06,-1.01140625e+01,1.19328125e+03,-4.45312500e-01,6.25000000e-01,,-2.15872000e-06,-5.29087629e-05
-2.15712000e-06,-1.00390625e+01,1.19765625e+03,-2.57812500e-01,6.71875000e-01,,-2.15712000e-06,-5.35808867e-05
-2.15552000e-06,-1.00500000e+01,1.19492188e+03,-5.70312500e-01,6.64062500e-01,,-2.15552000e-06,-5.43730857e-05
-2.15392000e-06,-1.00671875e+01,1.19304688e+03,-5.93750000e-01,6.71875000e-01,,-2.15392000e-06,-5.54849648e-05
-2.15232000e-06,-1.00609375e+01,1.19265625e+03,-4.21875000e-01,5.78125000e-01,,-2.15232000e-06,-5.64541842e-05
-2.15072000e-06,-1.01015625e+01,1.19492188e+03,-9.29687500e-01,6.09375000e-01,,-2.15072000e-06,-5.77454302e-05
-2.14912000e-06,-1.01218750e+01,1.19359375e+03,-5.15625000e-01,6.64062500e-01,,-2.14912000e-06,-5.91265125e-05
-2.14752000e-06,-1.01703125e+01,1.19265625e+03,-7.34375000e-01,4.84375000e-01,,-2.14752000e-06,-6.03195549e-05
-2.14592000e-06,-1.01343750e+01,1.19421875e+03,-5.78125000e-01,3.75000000e-01,,-2.14592000e-06,-6.15725658e-05
-2.14432000e-06,-1.01062500e+01,1.19335938e+03,-4.68750000e-01,9.45312500e-01,,-2.14432000e-06,-6.25723987e-05
-2.14272000e-06,-1.01578125e+01,1.19578125e+03,-3.20312500e-01,6.17187500e-01,,-2.14272000e-06,-6.33263262e-05
-2.14112000e-06,-1.00968750e+01,1.19257812e+03,-4.92187500e-01,6.01562500e-01,,-2.14112000e-06,-6.41023216e-05
-2.13952000e-06,-1.00718750e+01,1.18914062e+03,-5.15625000e-01,7.18750000e-01,,-2.13952000e-06,-6.50624206e-05
-2.13792000e-06,-1.01562500e+01,1.19164062e+03,-5.07812500e-01,1.21093750e+00,,-2.13792000e-06,-6.60370424e-05
-2.13632000e-06,-1.00343750e+01,1.19164062e+03,-2.50000000e-01,9.60937500e-01,,-2.13632000e-06,-6.67594722e-05
-2.13472000e-06,-1.00671875e+01,1.19296875e+03,-2.89062500e-01,9.84375000e-01,,-2.13472000e-06,-6.72736714e-05
-2.13312000e-06,-1.01140625e+01,1.18968750e+03,-3.04687500e-01,1.28125000e+00,,-2.13312000e-06,-6.78395299e-05
-2.13152000e-06,-1.01171875e+01,1.19312500e+03,-1.71875000e-01,9.37500000e-01,,-2.13152000e-06,-6.82935715e-05
-2.12992000e-06,-1.00984375e+01,1.18890625e+03,-3.82812500e-01,5.07812500e-01,,-2.12992000e-06,-6.88217260e-05
-2.12832000e-06,-1.00828125e+01,1.19226562e+03,-2.03125000e-01,9.45312500e-01,,-2.12832000e-06,-6.93795737e-05
-2.12672000e-06,-1.00265625e+01,1.19078125e+03,-1.79687500e-01,1.08593750e+00,,-2.12672000e-06,-6.97444921e-05
-2.12512000e-06,-1.01375000e+01,1.18945312e+03,-1.79687500e-01,8.12500000e-01,,-2.12512000e-06,-7.00866512e-05
-2.12352000e-06,-1.00546875e+01,1.19015625e+03,-4.60937500e-01,1.25000000e+00,,-2.12352000e-06,-7.06965075e-05
-2.12192000e-06,-1.01281250e+01,1.19000000e+03,2.10937500e-01,6.48437500e-01,,-2.12192000e-06,-7.09345622e-05
-2.12032000e-06,-1.01046875e+01,1.19070312e+03,-3.12500000e-02,9.37500000e-01,,-2.12032000e-06,-7.07635190e-05
-2.11872000e-06,-1.00328125e+01,1.19203125e+03,-5.46875000e-02,9.06250000e-01,,-2.11872000e-06,-7.08454390e-05
-2.11712000e-06,-1.01968750e+01,1.18906250e+03,-9.37500000e-02,1.33593750e+00,,-2.11712000e-06,-7.09867672e-05
-2.11552000e-06,-1.00562500e+01,1.19179688e+03,-2.03125000e-01,1.09375000e+00,,-2.11552000e-06,-7.12696128e-05
-2.11392000e-06,-1.01328125e+01,1.18937500e+03,-2.42187500e-01,1.18750000e+00,,-2.11392000e-06,-7.16937211e-05
-2.11232000e-06,-1.01750000e+01,1.19289062e+03,-8.59375000e-02,1.32031250e+00,,-2.11232000e-06,-7.20061726e-05
-2.11072000e-06,-1.00953125e+01,1.18976562e+03,4.68750000e-02,8.98437500e-01,,-2.11072000e-06,-7.20435710e-05
-2.10912000e-06,-1.00984375e+01,1.19171875e+03,-3.28125000e-01,7.81250000e-01,,-2.10912000e-06,-7.23117773e-05
-2.10752000e-06,-1.01093750e+01,1.18867188e+03,-5.23437500e-01,1.02343750e+00,,-2.10752000e-06,-7.31223627e-05
-2.10592000e-06,-1.01312500e+01,1.18703125e+03,-3.28125000e-01,1.03125000e+00,,-2.10592000e-06,-7.39317111e-05
-2.10432000e-06,-1.00531250e+01,1.19179688e+03,-2.34375000e-01,9.45312500e-01,,-2.10432000e-06,-7.44667705e-05
-2.10272000e-06,-1.00171875e+01,1.19140625e+03,-3.43750000e-01,1.09375000e+00,,-2.10272000e-06,-7.50178660e-05
-2.10112000e-06,-1.00812500e+01,1.18750000e+03,-4.76562500e-01,9.37500000e-01,,-2.10112000e-06,-7.57982343e-05
